payment_credit_ratio,EXT_SOURCE_2,EXT_SOURCE_1,EXT_SOURCE_3,DAYS_BIRTH,AMT_ANNUITY,ORGANIZATION_TYPE,previous_approved_cnt_payment_mean,DAYS_EMPLOYED,DAYS_ID_PUBLISH,annuity_income_ratio,previous_cnt_payment_mean,bureau_active_days_credit_max,installment_days_past_due_mean,AMT_CREDIT,installment_amt_payment_sum,income_credit_ratio,bureau_days_credit_max,DAYS_REGISTRATION,bureau_closed_days_credit_max,AMT_GOODS_PRICE,CODE_GENDER,bureau_active_days_credit_enddate_min,installment_days_before_due_sum,installment_days_entry_payment_max,pos_months_balance_size,installment_payment_difference_mean,credit_card_cnt_drawings_atm_current_mean,employment_birth_ratio,previous_days_decision_mean,bureau_active_amt_credit_sum_sum,OCCUPATION_TYPE,installment_days_before_due_max,installment_days_entry_payment_mean,previous_application_credit_ratio_mean,previous_approved_days_decision_max,NAME_FAMILY_STATUS,bureau_closed_days_credit_update_mean,bureau_days_credit_enddate_max,previous_approved_cnt_payment_sum,bureau_active_amt_credit_max_overdue_mean,bureau_amt_credit_max_overdue_mean,installment_amt_instalment_sum,installment_days_entry_payment_sum,pos_sk_dpd_def_mean,NAME_EDUCATION_TYPE,bureau_amt_credit_sum_sum,installment_amt_instalment_max,bureau_active_amt_credit_sum_mean,bureau_active_days_credit_update_mean
0.11309518054817035,0.6048943383603742,0.6758780692916837,0.0005272652387098,-13297,52641.0,Business Entity Type 3,11.0,-762.0,-4307,0.25430434782608696,5.6,-129.0,1.0344827586206897,465457.5,87492.06,0.4447237395465751,-129.0,-637.0,-587.0,418500.0,M,-2710.0,261.0,-1627.0,23.0,1151.1636206896553,,0.05730615928404904,-1642.6,481374.0,Sales staff,31.0,-1915.448275862069,0.579382385965312,-1994.0,Married,-683.25,231.0,22.0,1440.0,720.0,120875.805,-55548.0,0.0,Secondary / secondary special,970276.5,4776.84,160458.0,-218.0
0.03818836127446678,0.4253505221468029,0.4308270680689849,0.7121551551910698,-14778,48946.5,Business Entity Type 3,10.7,-1141.0,-4546,0.19776363636363636,9.916666666666666,-339.0,0.04285714285714286,1281712.5,3354329.52,0.19310102694637057,-295.0,-1610.0,-295.0,1179000.0,F,1488.0,664.0,-34.0,44.0,255.74657142857134,0.875,0.07720936527270267,-1215.75,2317500.0,Managers,52.0,-887.3428571428572,1.0455507903824723,-757.0,Single / not married,-407.6666666666667,9479.0,107.0,8181.0,4090.5,3372231.78,-62114.0,0.0,Higher education,4330867.5,962456.985,1158750.0,-52.0
0.0790090909090909,0.5317599965307688,0.5272390876896329,0.2079641743053816,-17907,39109.5,Self-employed,14.0,-639.0,-1461,0.19313333333333332,14.0,-399.0,0.5263157894736842,495000.0,223970.715,0.4090909090909091,-399.0,-2507.0,-701.0,495000.0,F,695.0,360.0,-144.0,21.0,774.0544736842105,,0.03568436924107891,-621.4285714285714,2053125.0,Sales staff,26.0,-708.0,1.0111265903291426,-107.0,Married,-740.3333333333334,1189.0,42.0,,,238677.75,-13452.0,0.0,Secondary / secondary special,2804085.0,14707.035,684375.0,-76.0
0.09791519434628976,0.6935206274920988,,0.6144143775673561,-19626,24939.0,Business Entity Type 3,12.0,-6982.0,-3158,0.10076363636363636,12.0,,29.692307692307693,254700.0,134694.9,0.9717314487632509,-2185.0,-11167.0,-2185.0,225000.0,F,,1.0,-1295.0,25.0,864.6853846153846,,0.3557525731172934,-2000.0,,High skill tech staff,1.0,-1761.6923076923076,1.0110369497884222,-2000.0,Widow,-1776.0,-2004.0,12.0,,47610.0,145935.81,-22902.0,0.0,Secondary / secondary special,252517.05,11240.91,,
0.05147939363846132,0.5606898594049499,0.6548815043678321,0.6363761710860439,-20327,15862.5,Business Entity Type 3,8.4,-1105.0,-494,0.141,7.5,-217.0,1.9655172413793103,308133.0,554478.57,0.3651020825422788,-217.0,-7299.0,-812.0,234000.0,M,1609.0,441.0,-116.0,26.0,3691.626206896551,,0.05436119447040882,-1050.7777777777778,783000.0,Laborers,51.0,-1229.9655172413793,0.7003825320614026,-173.0,Single / not married,-1551.5,1609.0,42.0,,,661535.73,-35669.0,0.0,Secondary / secondary special,1360575.0,242226.585,783000.0,-29.0
0.10768551236749116,0.5191266804311161,,0.1047946227497676,-19130,16456.5,XNA,18.0,,-959,0.19247368421052632,18.0,-154.0,2.0384615384615383,152820.0,376694.37,0.5594817432273262,-154.0,-8549.0,,135000.0,M,23.0,153.0,-8.0,27.0,0.0,,,-717.0,369652.5,__MISSING__,23.0,-486.61538461538464,1.0554572846043007,-423.0,Married,,211.0,36.0,,,376694.37,-12652.0,0.0,Secondary / secondary special,369652.5,18534.51,123217.5,-57.0
0.0275,0.5479626352655883,0.7140669333212697,,-15722,24750.0,Business Entity Type 3,,-345.0,-4672,0.22,,,,900000.0,,0.125,-727.0,-492.0,-727.0,900000.0,F,,,,,,,0.021943773056862993,,,__MISSING__,,,,,Married,-902.0,-631.0,,,14471.55,,,,Secondary / secondary special,110963.61,,,
0.04088888888888889,0.0125875656953968,,0.4902575124990026,-10801,33120.0,Trade: type 3,,-260.0,-3152,0.23388839455955257,,-557.0,,810000.0,,0.1748222222222222,-557.0,-263.0,,810000.0,M,904.0,,,,,,0.024071845199518563,,1035000.0,Laborers,,,,,Single / not married,,904.0,,,,,,,Secondary / secondary special,1035000.0,,517500.0,-5.0
0.04404926335174954,0.077534911185021,,0.633031641417419,-23516,34443.0,XNA,13.0,,-4763,0.2639310344827586,12.833333333333334,-354.0,0.16666666666666666,781920.0,1098128.6099999999,0.16689686924493555,-354.0,-1663.0,-646.0,675000.0,F,741.0,711.0,-352.0,61.0,958.3995,,,-969.3636363636364,522000.0,__MISSING__,32.0,-1258.2,0.9494441795469872,-817.0,Married,-899.6,741.0,65.0,0.0,45.1575,1155632.58,-75492.0,0.0,Secondary / secondary special,1455786.135,121277.115,261000.0,-521.5
0.039805,0.7400816968755699,,,-8755,35824.5,Trade: type 7,8.8,-649.0,-1436,0.3618636363636364,8.8,,0.22727272727272727,900000.0,838410.975,0.11,,-8733.0,,900000.0,F,,200.0,-117.0,25.0,2256.4022727272722,,0.0741290691033695,-373.1818181818182,,Laborers,30.0,-384.77272727272725,0.9732810063714881,-197.0,Separated,,,44.0,,,888051.825,-8465.0,0.0,Secondary / secondary special,,188006.715,,
